,Text,sentiment_scores,neg_score,neu_score,pos_score,compound_score,target
704,love product . different flavors fantastic . family likes 3 grain best . corn tortilla chips house !,"{'neg': 0.0, 'neu': 0.374, 'pos': 0.626, 'compound': 0.9441}",0.0,0.374,0.626,0.9441,1
726,"wonderful candy , hard find . got huge bag put freezer . came shipped nicely sturdy box heavy plastic . great !","{'neg': 0.052, 'neu': 0.45, 'pos': 0.498, 'compound': 0.9168}",0.052,0.45,0.498,0.9168,1
728,"surprised find taiwan-shaped pineapple cakes , cute ! < br / > 've never found pineapple cake like local asian supermarkets , ordered . lovely pastries made dragon boat festival party much fun . friends think good idea order mid-autumn festival party .","{'neg': 0.0, 'neu': 0.414, 'pos': 0.586, 'compound': 0.9843}",0.0,0.414,0.586,0.9843,1
733,cinnamon cake loaf wonderful natural flavor . 's moist tender great little sweet treat want something n't terribly bad diet . 's delicious !,"{'neg': 0.0, 'neu': 0.314, 'pos': 0.686, 'compound': 0.9757}",0.0,0.314,0.686,0.9757,1
754,enjoy flavor soy really like this. < br / > < br / > plus hand made good ole usa .,"{'neg': 0.0, 'neu': 0.453, 'pos': 0.547, 'compound': 0.902}",0.0,0.453,0.547,0.902,1
756,"soy sauce best ever . thanks amazon , able find . makes big difference using product . thanks","{'neg': 0.0, 'neu': 0.461, 'pos': 0.539, 'compound': 0.8934}",0.0,0.461,0.539,0.8934,1
767,coffee 's available tassimo kona richest flavor fantastic aroma < br / > far favorite .,"{'neg': 0.0, 'neu': 0.474, 'pos': 0.526, 'compound': 0.875}",0.0,0.474,0.526,0.875,1
769,"kind tea good .... ! taste smell wear 's like tea , feel like thing chemical .","{'neg': 0.0, 'neu': 0.463, 'pos': 0.537, 'compound': 0.8908}",0.0,0.463,0.537,0.8908,1
772,"great candy family loved . smaller imagined thought expensive small . however , germany get easier . shipping usa makes expenive . great product fun usa family receive .","{'neg': 0.0, 'neu': 0.497, 'pos': 0.503, 'compound': 0.9595}",0.0,0.497,0.503,0.9595,1
799,chocolate treat great gift arrived right expected . gave girlfriend surprise gift absolutely loved .,"{'neg': 0.0, 'neu': 0.27, 'pos': 0.73, 'compound': 0.9577}",0.0,0.27,0.73,0.9577,1
805,purchased gift mother lightning deal . happy loved basket . enjoyed cookies flavors tea included . shipped quick arrived expected .,"{'neg': 0.0, 'neu': 0.485, 'pos': 0.515, 'compound': 0.93}",0.0,0.485,0.515,0.93,1
811,holiday liquor cups exactly looking . chocolate < br / > delicious holds well liquors,"{'neg': 0.0, 'neu': 0.485, 'pos': 0.515, 'compound': 0.8176}",0.0,0.485,0.515,0.8176,1
824,"fast great service , cavashon loves low fat dog food . thanks . arrived great condition , thank thank thank","{'neg': 0.065, 'neu': 0.247, 'pos': 0.688, 'compound': 0.9648}",0.065,0.247,0.688,0.9648,1
845,certainly best caramels ever . wish came bigger pieces . finished whole box one sitting ! certainly buy .,"{'neg': 0.0, 'neu': 0.478, 'pos': 0.522, 'compound': 0.8999}",0.0,0.478,0.522,0.8999,1
858,"got kids christmas stocking stuffers . love . far delivery , product came good condition , timely , terrific . definitely good buy .","{'neg': 0.0, 'neu': 0.432, 'pos': 0.568, 'compound': 0.9413}",0.0,0.432,0.568,0.9413,1
861,"first , love packaging making heatproof would n't problem ordered winter freakishly cold . also want thank veryasia free sample mi goreng ... delicious ! ! ! love mi goreng .","{'neg': 0.044, 'neu': 0.413, 'pos': 0.543, 'compound': 0.9663}",0.044,0.413,0.543,0.9663,1
863,bought daughter 's grad party well strawberry . loves things . 're great product .,"{'neg': 0.0, 'neu': 0.388, 'pos': 0.612, 'compound': 0.9118}",0.0,0.388,0.612,0.9118,1
882,son severe allergies . item loves convenience . feel good giving taste great !,"{'neg': 0.118, 'neu': 0.273, 'pos': 0.609, 'compound': 0.8955}",0.118,0.273,0.609,0.8955,1
884,looking great gluten free snack wo n't sorry chose product . favorite flavor apple nut .,"{'neg': 0.0, 'neu': 0.462, 'pos': 0.538, 'compound': 0.8915}",0.0,0.462,0.538,0.8915,1
897,"numi winner tea ! husband , son often share wonderful tea dinner . pleasant reason love , turn bitter longer steeping , like teas !","{'neg': 0.079, 'neu': 0.311, 'pos': 0.61, 'compound': 0.957}",0.079,0.311,0.61,0.957,1
908,"son 's favorite dinner ! best seems best combo protein ( 21 % ) , vitamin ( 100 % ) c ( 30 % ) . runnier dinners great start solids protein . love love love brand flavor . think purchased 50 jars far .","{'neg': 0.0, 'neu': 0.407, 'pos': 0.593, 'compound': 0.9856}",0.0,0.407,0.593,0.9856,1
917,food daughter eat consistly . really enjoys . packaging great . never broken ( ordered 4 times ) .,"{'neg': 0.0, 'neu': 0.461, 'pos': 0.539, 'compound': 0.8888}",0.0,0.461,0.539,0.8888,1
919,"twin girls , loved vegetable turkey dinner . one favorite baby foods . great price .","{'neg': 0.0, 'neu': 0.45, 'pos': 0.55, 'compound': 0.9001}",0.0,0.45,0.55,0.9001,1
924,love fact turkey offered . son 's 2nd favorite dish . issues good balance nutrients .,"{'neg': 0.0, 'neu': 0.498, 'pos': 0.502, 'compound': 0.8779}",0.0,0.498,0.502,0.8779,1
930,always try food feed daughter one actually pretty good . daughter loves . gets excited make,"{'neg': 0.0, 'neu': 0.45, 'pos': 0.55, 'compound': 0.9042}",0.0,0.45,0.55,0.9042,1
934,"12 month olds time write great review , like flavors , textures great , jars open easily . great go snack .","{'neg': 0.0, 'neu': 0.411, 'pos': 0.589, 'compound': 0.9531}",0.0,0.411,0.589,0.9531,1
937,daughter loved stuff . natural made well . good mix things get older ! beats gerber .,"{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.8932}",0.0,0.435,0.565,0.8932,1
942,"six month old baby loves earth 's best 2nd sweet potato chicken dinner - 's favorite . seems love earth 's best 2nd foods - fruits , vegetables , dinners . consistency food makes easy eat - thick , thin .","{'neg': 0.0, 'neu': 0.498, 'pos': 0.502, 'compound': 0.9781}",0.0,0.498,0.502,0.9781,1
944,"earths best eats , one little thicker original chicken/sweet potato favorite runny .","{'neg': 0.0, 'neu': 0.465, 'pos': 0.535, 'compound': 0.849}",0.0,0.465,0.535,0.849,1
948,pretty good product . taste n't best 's definitely worse either . gives pretty smooth energetic kick .,"{'neg': 0.302, 'neu': 0.277, 'pos': 0.422, 'compound': 0.5383}",0.302,0.277,0.422,0.5383,1
950,sent basket father birthday . said fruit fresh sweet . happy healthy purchase !,"{'neg': 0.0, 'neu': 0.369, 'pos': 0.631, 'compound': 0.8999}",0.0,0.369,0.631,0.8999,1
951,"fruit gift really perfect gift ! everything fresh , well packed tasty looking ! people received assured quite tasty tasting . tried chocolate covered cherries ad surprised delicious ! thank ! needed something pinch came even earlier expected ! thank ! dharana , san francisco","{'neg': 0.0, 'neu': 0.477, 'pos': 0.523, 'compound': 0.9787}",0.0,0.477,0.523,0.9787,1
972,"great able get sugar way.its good eat going use sugar least processed unhealthy state top sugar body , helping fair trade farmers.it good thing around.i happy get amazon .","{'neg': 0.079, 'neu': 0.419, 'pos': 0.502, 'compound': 0.9451}",0.079,0.419,0.502,0.9451,1
979,"great work , pop instant bag minute make coffee . best tasting coffee . 's easy make without mess .","{'neg': 0.0, 'neu': 0.474, 'pos': 0.526, 'compound': 0.9233}",0.0,0.474,0.526,0.9233,1
980,"fast , easy definitely delicious . makes great cup coffee easy make . good purchase . continue order here. < br / > thanx ...","{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.9595}",0.0,0.385,0.615,0.9595,1
989,favorite hot sauce ! liketo use give anything extra flavor . loved going favorite resturants town seeing offering great product.i really enjoy putting breakfast burritos !,"{'neg': 0.0, 'neu': 0.499, 'pos': 0.501, 'compound': 0.9588}",0.0,0.499,0.501,0.9588,1
991,"browsing around amazon looking gifts pleased see favorite sauce . order shipped friends . habanero favorite , love heat tangy spiciness . also love pineapple . go wrong ordering .","{'neg': 0.075, 'neu': 0.388, 'pos': 0.536, 'compound': 0.9584}",0.075,0.388,0.536,0.9584,1
992,favorite hot sauce . buy locally love flavor . hopefully flavors show amazon people enjoy ! favorites medium pineapple flavored ones far . thank making flavorful hot sauce !,"{'neg': 0.0, 'neu': 0.451, 'pos': 0.549, 'compound': 0.9622}",0.0,0.451,0.549,0.9622,1
997,"sauce good anything , like adding asian food anything egg noodles , good burn strong flavor . im hoping see flavors like pineapple experiment soon . buy wont regret","{'neg': 0.0, 'neu': 0.483, 'pos': 0.517, 'compound': 0.9534}",0.0,0.483,0.517,0.9534,1
1006,like animal crackers eat . price great little guy loves !,"{'neg': 0.0, 'neu': 0.368, 'pos': 0.632, 'compound': 0.8837}",0.0,0.368,0.632,0.8837,1
1030,eating healthy never tasted good . tough find local stores amazon great price especially subscribe save .,"{'neg': 0.097, 'neu': 0.364, 'pos': 0.539, 'compound': 0.8733}",0.097,0.364,0.539,0.8733,1
1034,"sad moment unable find favorite cereal grocery stores . 'm sure disappeared , grateful 'm able purchace online . thanks !","{'neg': 0.182, 'neu': 0.4, 'pos': 0.418, 'compound': 0.7574}",0.182,0.4,0.418,0.7574,1
1044,"wow , soooo good easily become favorite dressing ! typically make dressings , however use one treat ! < br / > < br / > given gift absolutely love ! 's perfect balance sweet oily bitter . granted , needs good shaking since 's oil based ! absolutely love sad running ! eat salads like every day , want dressing ! 's unique never somebody n't love ! : )","{'neg': 0.089, 'neu': 0.371, 'pos': 0.54, 'compound': 0.9907}",0.089,0.371,0.54,0.9907,1
1047,"coffee company delivers great coffee taste ! ! like coffee deep , robust taste jeremiah 's always ! ! makes glad purchase ! ! thanks ! !","{'neg': 0.0, 'neu': 0.447, 'pos': 0.553, 'compound': 0.9439}",0.0,0.447,0.553,0.9439,1
1050,actually gave local baker daughters cupcakes . looked great . showed perfectly white chocolate icing . great shape .,"{'neg': 0.0, 'neu': 0.492, 'pos': 0.508, 'compound': 0.9246}",0.0,0.492,0.508,0.9246,1
1054,"favorite tea . drink year-round never get tired like others . 's good time day . strong , still nicely flavorful , good balance minty/spicy/herbal-y .","{'neg': 0.065, 'neu': 0.4, 'pos': 0.535, 'compound': 0.936}",0.065,0.4,0.535,0.936,1
1066,love espressos ... raw sugar cube sweet refined sugars rich flavor .,"{'neg': 0.0, 'neu': 0.426, 'pos': 0.574, 'compound': 0.8957}",0.0,0.426,0.574,0.8957,1
1096,"favorite chips planet ! light , crisp , & greasy . flavor dilly . love ! great chips . hard find .","{'neg': 0.063, 'neu': 0.404, 'pos': 0.533, 'compound': 0.9097}",0.063,0.404,0.533,0.9097,1
1109,"rarely find potato chips live , decided find online satisfy cravings . happier ordering amazon ! chips arrived fast box protected crushing . excellent ordering !","{'neg': 0.076, 'neu': 0.458, 'pos': 0.466, 'compound': 0.915}",0.076,0.458,0.466,0.915,1
1116,"everything americolor purchased works great ! looking lighter tone colors , everything pretty bright . sheen colors light pretty sheen , 's great ! thank !","{'neg': 0.0, 'neu': 0.401, 'pos': 0.599, 'compound': 0.9677}",0.0,0.401,0.599,0.9677,1
1122,"sent prompty , tea delicious , continue use company great enthusiasm .","{'neg': 0.0, 'neu': 0.359, 'pos': 0.641, 'compound': 0.8934}",0.0,0.359,0.641,0.8934,1
1123,loved tea ! refreshing delicious without sweetener . great buy ! would definitely recommend product !,"{'neg': 0.137, 'neu': 0.292, 'pos': 0.571, 'compound': 0.8855}",0.137,0.292,0.571,0.8855,1
1137,cats love food . money great product . get every month . cats love flavor .,"{'neg': 0.0, 'neu': 0.419, 'pos': 0.581, 'compound': 0.926}",0.0,0.419,0.581,0.926,1
1141,one kitties complete snob comes food loves . great product buy .,"{'neg': 0.169, 'neu': 0.393, 'pos': 0.438, 'compound': 0.7003}",0.169,0.393,0.438,0.7003,1
1149,"raw , organic , fair trade , tastes great ... 's love ? hope people buy amazing chocolates price come bit .","{'neg': 0.0, 'neu': 0.41, 'pos': 0.59, 'compound': 0.9538}",0.0,0.41,0.59,0.9538,1
